Year,Score 1,Score 2,Player 1,Player 2,Winner
2003,Argentina,Namibia,67,14,Argentina
2003,Australia,Romania,90,8,Australia
2003,Ireland,Namibia,64,7,Ireland
2003,Argentina,Romania,50,3,Argentina
2003,Australia,Namibia,142,0,Australia
2003,Argentina,Ireland,15,16,Ireland
2003,Namibia,Romania,7,37,Romania
2003,Australia,Ireland,17,16,Australia
2003,France,Fiji,61,18,France
2003,Scotland,Japan,32,11,Scotland
2003,Fiji,United States,19,18,Fiji
2003,France,Japan,51,29,France
2003,Scotland,United States,39,15,Scotland
2003,Fiji,Japan,41,13,Fiji
2003,France,Scotland,51,9,France
2003,Japan,United States,26,39,United States
2003,France,United States,41,14,France
2003,Scotland,Fiji,22,20,Scotland
2003,South Africa,Uruguay,72,6,South Africa
2003,England,Georgia,84,6,England
2003,Samoa,Uruguay,60,13,Samoa
2003,South Africa,England,6,25,England
2003,Georgia,Samoa,9,46,Samoa
2003,South Africa,Georgia,46,19,South Africa
2003,England,Samoa,35,22,England
2003,Georgia,Uruguay,12,24,Uruguay
2003,South Africa,Samoa,60,10,South Africa
2003,England,Uruguay,111,13,England
2003,New Zealand,Italy,70,7,New Zealand
2003,Wales,Canada,41,10,Wales
2003,Italy,Tonga,36,12,Italy
2003,New Zealand,Canada,68,6,New Zealand
2003,Wales,Tonga,27,20,Wales
2003,Italy,Canada,19,14,Italy
2003,New Zealand,Tonga,91,7,New Zealand
2003,Italy,Wales,15,27,Wales
2003,Canada,Tonga,24,7,Canada
2003,New Zealand,Wales,53,37,New Zealand
2003,New Zealand,South Africa,29,9,New Zealand
2003,Australia,Scotland,33,16,Australia
2003,France,Ireland,43,21,France
2003,England,Wales,28,17,England
2003,New Zealand,Australia,10,22,Australia
2003,France,England,7,24,England
2003,New Zealand,France,40,13,New Zealand
2003,Australia,England,17,20,England
2007,England,Australia,40,16,England
2007,New Zealand,Ireland,46,14,New Zealand
2007,Wales,France,20,19,Wales
2007,Japan,South Africa,3,26,South Africa
2007,England,New Zealand,19,7,England
2007,Wales,South Africa,16,19,South Africa
2007,New Zealand,Wales,40,17,New Zealand
2007,England,South Africa,12,32,South Africa
2011,New Zealand,Tonga,41,10,New Zealand
2011,France,Japan,47,21,France
2011,Tonga,Canada,20,25,Canada
2011,New Zealand,Japan,83,7,New Zealand
2011,France,Canada,46,19,France
2011,Tonga,Japan,31,18,Tonga
2011,New Zealand,France,37,17,New Zealand
2011,Canada,Japan,23,23,Draw
2011,France,Tonga,14,19,Tonga
2011,New Zealand,Canada,79,15,New Zealand
2011,Scotland,Romania,34,24,Scotland
2011,England,Argentina,13,9,England
2011,Scotland,Georgia,15,6,Scotland
2011,Argentina,Romania,43,8,Argentina
2011,England,Georgia,41,10,England
2011,England,Romania,67,3,England
2011,Argentina,Scotland,13,12,Argentina
2011,Georgia,Romania,25,9,Georgia
2011,England,Scotland,16,12,England
2011,Argentina,Georgia,25,7,Argentina
2011,Australia,Italy,32,6,Australia
2011,Ireland,United States,22,10,Ireland
2011,Russia,United States,6,13,United States
2011,Australia,Ireland,6,15,Ireland
2011,Italy,Russia,53,17,Italy
2011,Australia,United States,67,5,Australia
2011,Ireland,Russia,62,12,Ireland
2011,Italy,United States,27,10,Italy
2011,Australia,Russia,68,22,Australia
2011,Ireland,Italy,36,6,Ireland
2011,Fiji,Namibia,49,25,Fiji
2011,South Africa,Wales,17,16,South Africa
2011,Samoa,Namibia,49,12,Samoa
2011,South Africa,Fiji,49,3,South Africa
2011,Wales,Samoa,17,10,Wales
2011,South Africa,Namibia,87,0,South Africa
2011,Fiji,Samoa,7,27,Samoa
2011,Wales,Namibia,81,7,Wales
2011,South Africa,Samoa,13,5,South Africa
2011,Wales,Fiji,66,0,Wales
2011,England,Australia,40,16,England
2011,New Zealand,Ireland,46,14,New Zealand
2011,Wales,France,20,19,Wales
2011,Japan,South Africa,3,26,South Africa
2011,England,New Zealand,19,7,England
2011,Wales,South Africa,16,19,South Africa
2011,New Zealand,Wales,40,17,New Zealand
2011,England,South Africa,12,32,South Africa
2015,England,Fiji,35,11,England
2015,Wales,Uruguay,54,9,Wales
2015,Australia,Fiji,28,13,Australia
2015,England,Wales,25,28,Wales
2015,Australia,Uruguay,65,3,Australia
2015,Wales,Fiji,23,13,Wales
2015,England,Australia,13,33,Australia
2015,Fiji,Uruguay,47,15,Fiji
2015,Australia,Wales,15,6,Australia
2015,England,Uruguay,60,3,England
2015,South Africa,Japan,32,34,Japan
2015,Samoa,United States,25,16,Samoa
2015,Scotland,Japan,45,10,Scotland
2015,South Africa,Samoa,46,6,South Africa
2015,Scotland,United States,39,16,Scotland
2015,Samoa,Japan,5,26,Japan
2015,South Africa,Scotland,34,16,South Africa
2015,South Africa,United States,64,0,South Africa
2015,Samoa,Scotland,33,36,Scotland
2015,United States,Japan,18,28,Japan
2015,Tonga,Georgia,10,17,Georgia
2015,New Zealand,Argentina,26,16,New Zealand
2015,New Zealand,Namibia,58,14,New Zealand
2015,Argentina,Georgia,54,9,Argentina
2015,Tonga,Namibia,35,21,Tonga
2015,New Zealand,Georgia,43,10,New Zealand
2015,Argentina,Tonga,45,16,Argentina
2015,Namibia,Georgia,16,17,Georgia
2015,New Zealand,Tonga,47,9,New Zealand
2015,Argentina,Namibia,64,19,Argentina
2015,Ireland,Canada,50,7,Ireland
2015,France,Italy,32,10,France
2015,France,Romania,38,11,France
2015,Italy,Canada,23,18,Italy
2015,Ireland,Romania,44,10,Ireland
2015,France,Canada,41,18,France
2015,Ireland,Italy,16,9,Ireland
2015,Canada,Romania,15,17,Romania
2015,Italy,Romania,32,22,Italy
2015,France,Ireland,9,24,Ireland
2015,England,Australia,40,16,England
2015,New Zealand,Ireland,46,14,New Zealand
2015,Wales,France,20,19,Wales
2015,Japan,South Africa,3,26,South Africa
2015,England,New Zealand,19,7,England
2015,Wales,South Africa,16,19,South Africa
2015,New Zealand,Wales,40,17,New Zealand
2015,England,South Africa,12,32,South Africa
2019,Japan,Russia,30,10,Japan
2019,Ireland,Scotland,27,3,Ireland
2019,Russia,Samoa,9,34,Samoa
2019,Japan,Ireland,19,12,Japan
2019,Scotland,Samoa,34,0,Scotland
2019,Ireland,Russia,35,0,Ireland
2019,Japan,Samoa,38,19,Japan
2019,Scotland,Russia,61,0,Scotland
2019,Ireland,Samoa,47,5,Ireland
2019,Japan,Scotland,28,21,Japan
2019,New Zealand,South Africa,23,13,New Zealand
2019,Italy,Namibia,47,22,Italy
2019,Italy,Canada,48,7,Italy
2019,South Africa,Namibia,57,3,South Africa
2019,New Zealand,Canada,63,0,New Zealand
2019,South Africa,Italy,49,3,South Africa
2019,New Zealand,Namibia,71,9,New Zealand
2019,South Africa,Canada,66,7,South Africa
2019,New Zealand,Italy,0,0,Draw
2019,Namibia,Canada,0,0,Draw
2019,Australia,Fiji,39,21,Australia
2019,Wales,Georgia,43,14,Wales
2019,Fiji,Uruguay,27,30,Uruguay
2019,Georgia,Uruguay,33,7,Georgia
2019,Australia,Wales,25,29,Wales
2019,Georgia,Fiji,10,45,Fiji
2019,Australia,Uruguay,45,10,Australia
2019,Wales,Fiji,29,17,Wales
2019,Australia,Georgia,27,8,Australia
2019,Wales,Uruguay,35,13,Wales
2019,England,Australia,40,16,England
2019,New Zealand,Ireland,46,14,New Zealand
2019,Wales,France,20,19,Wales
2019,Japan,South Africa,3,26,South Africa
2019,England,New Zealand,19,7,England
2019,Wales,South Africa,16,19,South Africa
2019,New Zealand,Wales,40,17,New Zealand
2019,England,South Africa,12,32,South Africa
